,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
23,label,side:1,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,text,出,1,-,7d,4500w,押券宽松,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,label,side:2,tlow,,thigh,total,mode:102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,text,出,16,天,资金,渣量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,label,side:2,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,text,借,隔夜,资金,1,亿,，,押利率,或,AAA,存单,，,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,label,side:1,tlow,,total,i_total,,tag:10,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,text,出,7D,2,亿,下午,3,点,30,还款,\,n,出,7D,2,亿,下午,3,点,30,还款,\,n,出,7D,2,亿,下午,3,点,30,还款,,,,,,,,,,,,,,,,,,,
31,label,side:2,tlow,total,i_total,,,,,,,,side:2,tlow,total,i_total,,,,,,,,side:2,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,
32,text,出,5,-,6,天,资金,，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,label,side:2,tlow,,thigh,i_thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,text,出,6D,早,还款,出,6D,早,还款,出,6D,早,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,label,side:2,tlow,,,side:2,tlow,,,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,text,出,上清,隔夜,1000,万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,label,side:2,tag:13,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,text,借秒,到,隔夜,2000w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,label,,,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,text,出,21,-,40,天,资金,，,中债,上清,均,可,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,label,side:2,tlow,,thigh,i_thigh,,,,tag:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,text,出,买断,1,个,月,1.4,亿,押利率,限银行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,label,side:2,mode:103,,,,total,i_total,tag:10,tag:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,text,借,隔夜,资金,5700w,，,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,label,side:1,tlow,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,text,高价,借,7,-,14,天,5000,万,，,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,label,,side:1,tlow,,thigh,i_thigh,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,text,出,34,天,-,-,3,个,月,已经,5000,万,，,限,农信,银行,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,label,side:2,tlow,i_tlow,,,,,,,total,i_total,,,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,text,公募,借,上清,隔夜,，,整理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,label,,side:1,tag:13,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,text,出,32,天,资金,8000,万,，,押利率,，,欢迎,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,label,side:2,tlow,i_tlow,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,text,借,14D,1,个,押,AA+,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,label,side:1,tlow,,,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,text,出,4,天,，,1.32,e,，,押券宽松,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,label,side:2,tlow,i_tlow,,total,i_total,,mode:102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,text,换,7D,隔夜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,label,,tlow,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,text,出,隔夜,9000,，,押利率,或,3A,，,超限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,label,side:2,tlow,,,tag:10,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,text,诚借,1,-,7D,资金,，,押CD,，,欢迎,小窗,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,label,side:1,tlow,,thigh,,,mode:102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,text,出,14,整量,出,押利率,或,中债,3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,label,side:2,,,side:2,tag:10,,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,text,出,7,~,14,天,5000W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,label,side:2,tlow,,thigh,i_tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,text,换,隔夜,4000,万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,label,,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,text,出,一个月,，,整量,优先,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,label,side:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,text,出,7D,2.65,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,label,side:2,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,text,出,隔夜,1,亿,，,中债,在,账,，,超限,，,12,点前,还款,，,最后,一笔,啦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,label,side:2,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,text,诚借,隔夜,资金,1.1,亿,，,押利率,，,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,label,side:1,tlow,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,text,出,隔夜,1000w,+,2200w,\,n,借,7d,1000w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,label,side:2,tlow,total,,total,,,side:1,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,text,出,4D,，,2,亿,，,押利率,，,限,直连,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,label,side:2,tlow,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,text,出,隔夜,1100w,上午,还款,，,减,大大,点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,label,side:2,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,text,减点,借,隔夜,1.6,e,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,label,price:3,side:1,tlow,total,i_total,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,text,出,隔夜,出,隔夜,出,隔夜,出,隔夜,出,隔夜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,label,side:2,tlow,side:2,tlow,side:2,tlow,side:2,tlow,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,text,出,3,亿,7,天,限公募,自营,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,label,side:2,total,i_total,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,text,出,在,帐,隔夜,7000,万,押利率,欢迎,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,label,side:2,,,tlow,total,i_total,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,text,定价,换,跨节,7800,+,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,label,price:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,text,出,跨季,资金,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,label,side:2,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,text,出,5000,万,隔夜,，,押利率,，,银行,农信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,label,side:2,total,i_total,tlow,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,text,出,隔夜,10002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,text,买断,借,7,-,14,天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,label,mode:103,side:1,tlow,,thigh,i_thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,text,借,隔夜,7,天,押利率,可早,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,label,side:1,tlow,tlow,i_tlow,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,text,收,1,亿,隔夜,~,7D,加权,买断,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,label,,total,i_total,tlow,,tlow,price:1,mode:103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,text,出,6000W,14D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,label,side:2,total,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,text,借,7,-,8,天,资金,1,亿,",",求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,label,side:1,tlow,,thigh,i_thigh,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,text,出,隔夜,3600w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,label,side:2,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,text,借,隔夜,2000w,+,3500w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,label,side:1,tlow,total,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,text,借,隔夜,-,7,天,押利率,押存单,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,label,side:1,tlow,,tlow,i_tlow,tag:10,tag:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,text,出,2M,及,以上,期限,资金,，,限银行,农信,，,押中债,3A,或,利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,label,side:2,tlow,,,,,,tag:16,,,tag:12,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,text,出,上交所,14,天,-,1m,3000wan,\,n,出,上交所,14,天,-,1m,3000wan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,label,side:2,,tlow,i_tlow,,tlow,total,,,side:2,,tlow,i_tlow,,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,text,借,7,天,资金,6000,，,押存单,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,label,side:1,tlow,i_tlow,,,,tag:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,text,出,到,周五,资金,1,亿,，,押利率,，,限,农商行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,label,side:2,,,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,text,出,7d,1700w,+,2100w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,label,side:2,tlow,total,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,text,出,上清,隔夜,1100w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,label,side:2,tag:13,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,text,换,隔夜,3400,万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,label,,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,text,出,10,-,14,天,资金,，,1,亿,！,银行,农信,，,上午,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,label,side:2,tlow,,thigh,i_thigh,,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,text,出,渣量,7D,700W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,label,side:2,,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,text,诚借,隔夜,至,14,天,资金,，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,label,side:1,tlow,,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,text,出,7D,押,AA,可,PPN,整量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,label,side:2,tlow,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,text,出,5D,5000,",",押利率,，,上午,还款,欢迎,来,撩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,label,side:2,tlow,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,text,出,7d,押中债,国企,AA+,\,n,出,14d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,label,side:2,tlow,tag:12,,tag:11,,,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,text,加权,出,1500w,隔夜,公募,aa,其他,aa,+,\,n,加权,出,1500w,隔夜,公募,aa,其他,aa,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,label,price:1,side:2,total,tlow,,tag:11,,tag:11,,,,price:1,side:2,total,tlow,,tag:11,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,text,出,14,天,2900w,不限,户,押券,aa,（,还是,要,对,下券,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,label,side:2,tlow,i_tlow,total,,,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,text,出,隔夜,2000w,上清,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,label,side:2,tlow,total,tag:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,text,出,5d,·,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,text,预约,借,明天,14,-,21D,资金,大量,质押,买断,均,可,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,label,,side:1,,tlow,,thigh,,,mode:102,mode:103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,text,借,1,-,7,天,1000,万,押利率,或,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,label,side:1,tlow,,thigh,i_thigh,total,i_total,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,text,出,7,-,14,天,1000,+,1000,，,压,利率,或,3a,非,过剩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,label,side:2,tlow,,thigh,i_thigh,,,,,,,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,text,公募,户,借,1500w,隔夜,，,押上清,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,label,,,side:1,total,tlow,,tag:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,text,上限,借,7,天,资金,1,亿元,，,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,label,,side:1,tlow,i_tlow,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,text,借,隔夜,2e,，,求,小窗,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,label,side:1,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,text,借,3,-,8,天,资金,5000,万,，,押利率,，,早,还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,label,side:1,tlow,,thigh,i_thigh,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,text,出,在,账,7D,可,质押,可,上交所,协议,可,买断,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,label,side:2,,,tlow,,mode:102,,,,,mode:103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,text,出,14d,1.82,e,押,aa,+,四点,前,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,label,side:2,tlow,total,i_total,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,text,出,8,天,资金,4000,万,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,label,side:2,tlow,i_tlow,,total,i_total,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,text,借,隔夜,，,押存单,或,中债,AA+,债,，,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,label,side:1,tlow,,tag:14,,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,text,出,4,天,2.5,e,+,0.2,e,压券宽松,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,label,side:2,tlow,i_tlow,total,i_total,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,text,出,隔夜,7800w,+,3200w,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,label,side:2,tlow,total,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,text,出,隔夜,6000W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,label,side:2,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,text,出,10d,整量,起,在,账,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,text,出,50,天,资金,2000,万,，,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,label,side:2,tlow,i_tlow,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,text,借,21,天,以内,资金,可,押利率,敲,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,label,side:1,tlow,i_tlow,,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,text,出,7D,在,帐,，,押,AA+,cd,，,不限,户,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,label,side:2,tlow,,,,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,text,出,2,天,2000,万,在,帐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,label,side:2,tlow,i_tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,text,出,在,账,7,天,3.94,e,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,label,side:2,,,tlow,i_tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,text,出,3000W,隔夜,质押,宽松,上清,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,label,side:2,total,tlow,mode:102,,tag:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,text,出,7,-,14D,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,label,side:2,tlow,,thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,text,借,7D,-,32D,资金,7000,万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,label,side:1,tlow,,thigh,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,text,出,7D,4200w,在,帐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,label,side:2,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,text,出,7,天,1300,万,3,点前,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,label,side:2,tlow,i_tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
